Stations_id,Bezugszeitraum,Jan.,Feb.,März,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
1140,1981-2010,73,66,87,91,127,142,162,152,113,81,88,90,1271
1141,1981-2010,90,71,77,60,69,93,98,69,84,82,81,101,974
1143,1981-2010,55,54,63,48,73,73,83,67,53,61,59,69,756
1145,1981-2010,60,55,62,61,92,91,93,83,71,65,61,70,865
1147,1981-2010,65,48,54,43,53,67,72,60,56,53,55,67,692
1149,1981-2010,66,44,56,40,52,65,67,65,58,63,57,68,701
1159,1981-2010,51,45,52,46,60,76,87,75,61,48,57,58,716
1162,1981-2010,42,44,55,65,98,86,84,78,78,75,59,66,829
1166,1981-2010,46,36,48,39,51,54,69,63,48,34,51,54,594
1170,1981-2010,88,65,78,53,70,74,85,78,83,71,84,89,917
1171,1981-2010,73,53,59,44,52,72,68,62,60,60,60,72,735
1174,1981-2010,57,51,63,57,66,78,99,92,66,48,67,68,811
1176,1981-2010,124,107,116,83,120,110,108,95,90,103,108,143,1308
1178,1981-2010,42,39,44,38,55,55,64,65,41,35,43,53,572
1186,1981-2010,152,104,120,70,73,81,81,89,89,93,113,140,1203
1187,1981-2010,121,83,100,65,64,71,76,72,70,81,89,120,1011
1189,1981-2010,66,45,52,41,52,71,78,69,67,78,61,63,742
1191,1981-2010,69,62,73,58,87,91,88,79,68,79,71,80,903
1194,1981-2010,45,37,48,51,76,84,89,81,69,63,53,55,751
1197,1981-2010,67,62,71,52,84,82,85,75,61,71,66,81,855
1201,1981-2010,53,49,56,50,63,81,67,60,61,59,55,59,713
1202,1981-2010,76,55,67,42,57,74,83,73,70,67,69,74,805
1203,1981-2010,56,50,61,50,68,66,70,61,63,63,57,63,728
1207,1981-2010,62,54,63,55,61,73,85,81,63,55,63,74,789
1208,1981-2010,41,38,46,44,59,68,80,69,53,40,52,49,639
1210,1981-2010,42,35,45,38,58,52,69,72,49,38,48,49,593
1216,1981-2010,95,85,97,57,76,78,83,62,71,91,82,113,990
1223,1981-2010,73,51,73,39,59,70,85,67,71,74,69,76,806
1224,1981-2010,44,44,59,69,105,94,93,85,78,78,63,71,882
1227,1981-2010,57,53,59,61,96,98,102,78,64,72,60,73,873
1230,1981-2010,79,54,67,46,57,73,77,70,71,71,74,78,818
1231,1981-2010,78,53,65,46,56,74,80,70,77,71,71,79,819
1232,1981-2010,71,49,61,45,57,69,73,61,63,69,69,76,761
1235,1981-2010,64,61,87,79,127,158,164,155,109,78,77,82,1240
1237,1981-2010,55,58,81,67,109,122,123,120,86,66,71,79,1036
1241,1981-2010,79,58,65,45,61,69,69,71,69,65,68,78,797
1246,1981-2010,67,49,63,46,60,65,70,71,68,64,65,70,755
1247,1981-2010,63,51,51,39,61,82,89,71,60,62,53,65,746
1248,1981-2010,75,61,64,47,68,83,93,74,66,65,63,78,836
1251,1981-2010,80,73,76,60,79,74,70,60,74,92,83,98,918
1252,1981-2010,71,64,74,55,76,76,107,111,73,58,78,77,919
1253,1981-2010,75,67,71,56,65,78,79,62,74,68,71,79,845
1255,1981-2010,55,55,65,52,80,71,79,65,59,73,66,73,794
1256,1981-2010,44,44,54,65,97,112,123,100,85,65,61,60,909
1258,1981-2010,48,45,52,57,86,84,85,78,65,64,52,58,773
1259,1981-2010,92,72,77,52,69,78,89,70,74,70,79,95,918
1264,1981-2010,54,48,61,59,94,106,119,98,75,64,63,66,908
1265,1981-2010,49,45,61,65,97,116,122,110,89,71,69,63,956
1266,1981-2010,70,49,59,40,56,80,85,90,84,95,75,74,857
1270,1981-2010,24,26,39,42,64,57,73,54,47,35,44,35,539
1271,1981-2010,32,33,45,46,63,62,70,52,45,38,45,40,571
1274,1981-2010,49,43,54,48,72,82,86,77,69,59,57,61,756
1277,1981-2010,66,54,60,46,71,76,69,69,66,65,68,70,780
1279,1981-2010,51,44,55,43,65,65,77,60,58,57,55,61,691
